# ABRIK Runtime Breakdown Benchmark (unified dense/sparse)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/ABRIK_test_mat6.bin
# Input size: 10000 x 10000
# Format: dense
# Block sizes: 1, 4, 8, 16, 32, 64, 128, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 
# Runs per configuration: 10
# Tolerance: 4.94851e-14
# Timings in microseconds
b_sz, num_matmuls, allocation_t, get_factors_t, ungqr_t, reorth_t, qr_t, gemm_A_t, main_loop_t, sketching_t, r_cpy_t, s_cpy_t, norm_t, t_rest, total_t
8, 32, 17526, 1089460, 247109, 3108120, 7074213, 1632604, 12003204, 13804, 214355, 59, 463, 22522, 13420235
8, 32, 17030, 1118242, 274046, 3308363, 6727854, 1595820, 11966193, 27546, 270643, 60, 422, 15988, 13356014
8, 32, 20686, 1130635, 279328, 3408968, 7324403, 1622108, 12645147, 41316, 261746, 57, 451, 36849, 14126547
8, 64, 19668, 1030363, 514000, 6463317, 13459129, 3286328, 23901002, 21195, 452818, 110, 2105, 23866, 25272899
8, 64, 24390, 1030296, 541655, 6579524, 13646259, 3187750, 24239307, 35071, 506152, 104, 2011, 17349, 25570561
8, 64, 24248, 1232601, 532002, 6203684, 13627316, 3168933, 23778547, 29123, 482546, 105, 2107, 23819, 25326484
8, 64, 24754, 1988486, 554000, 6858543, 13710216, 3056988, 24500450, 14667, 539287, 111, 2055, 25070, 26774177
8, 64, 25046, 1173694, 508320, 6670182, 13622468, 3257881, 24250038, 20773, 457113, 104, 2070, 16696, 25754347
8, 64, 23748, 1955112, 518926, 6619568, 13817769, 3217038, 24363220, 20808, 474684, 117, 1975, 37962, 26687707
8, 64, 23827, 3183405, 544511, 6598349, 13495162, 3140269, 24028813, 21019, 489750, 104, 1894, 23523, 27521813
8, 64, 22813, 925478, 537154, 6246078, 13692078, 3221992, 23927936, 14782, 528216, 115, 1982, 24100, 25214788
8, 64, 23416, 872401, 511645, 6207049, 13407864, 3157652, 23580158, 21053, 520627, 102, 2104, 16747, 24740660
8, 64, 24630, 3086306, 511686, 6642307, 13793323, 3234826, 24448294, 13918, 498102, 113, 2056, 24154, 27831421
16, 2, 7251, 100570, 31319, 96302, 107631, 100335, 308672, 390, 20574, 4, 8, 2488, 466872
16, 2, 3721, 119893, 32413, 102815, 108605, 122999, 298956, 27391, 13870, 4, 7, 15921, 547639
16, 2, 3359, 112051, 25878, 123394, 113376, 128665, 316489, 27200, 13722, 3, 7, 17843, 565498
16, 2, 3272, 113086, 33646, 88800, 102939, 133748, 280775, 40923, 20561, 3, 8, 18525, 555511
16, 2, 3410, 112946, 23074, 81607, 124686, 139333, 277416, 34483, 13624, 4, 9, 16902, 550078
16, 2, 3340, 100268, 31589, 95932, 93197, 127427, 293131, 40739, 13796, 3, 7, 29720, 536018
16, 2, 3486, 106069, 24852, 116173, 128781, 128018, 322435, 14235, 18805, 4, 7, 23277, 563707
16, 2, 3311, 99141, 38539, 101903, 107605, 127409, 294457, 33732, 13484, 4, 7, 16732, 541867
16, 2, 4000, 100828, 23964, 102978, 126614, 115757, 290318, 20557, 14268, 3, 8, 16172, 525149
16, 2, 3844, 107080, 37596, 81405, 115515, 121323, 287420, 22514, 14023, 4, 7, 16153, 519464
16, 4, 4456, 209456, 47960, 298665, 199382, 197271, 699300, 21283, 36306, 6, 18, 16141, 1030944
16, 4, 5760, 256070, 58069, 305248, 171327, 208477, 705060, 27335, 40335, 6, 20, 16416, 1089063
16, 4, 5476, 264996, 43661, 312858, 185664, 217102, 703956, 20766, 27701, 6, 20, 16158, 1094408
16, 4, 4459, 221708, 48038, 288894, 196249, 211964, 704311, 20989, 41045, 7, 23, 16828, 1050204
16, 4, 5541, 264789, 46908, 350337, 204997, 202014, 751606, 20694, 27827, 8, 21, 16328, 1139464
16, 4, 4198, 201980, 40969, 321075, 208707, 220605, 738139, 20610, 28045, 7, 18, 32327, 1078541
16, 4, 6177, 229293, 55185, 297149, 196672, 185648, 702340, 386, 28303, 7, 17, 2488, 1001325
16, 4, 5808, 252889, 55631, 328849, 172745, 223211, 727878, 40397, 30083, 7, 19, 16318, 1125957
16, 4, 5830, 222505, 47497, 318213, 187170, 195610, 712502, 15517, 34433, 6, 19, 14825, 1041625
16, 4, 4498, 234080, 67280, 297593, 170581, 215505, 703428, 20840, 35237, 6, 21, 16974, 1062615
16, 8, 12699, 574366, 85410, 623831, 350589, 372456, 1414348, 21351, 62565, 14, 65, 16050, 2119396
16, 8, 10505, 517126, 82432, 702286, 337706, 391778, 1485248, 20558, 70482, 15, 57, 16340, 2149285
16, 8, 8538, 581260, 102211, 678528, 338430, 385520, 1468133, 27714, 62787, 13, 61, 16273, 2201335
16, 8, 9490, 580414, 88456, 658859, 354129, 391473, 1477540, 20772, 70291, 12, 58, 29877, 2203831
16, 8, 8960, 540442, 75705, 669804, 347754, 388900, 1449705, 28109, 62532, 16, 64, 16458, 2138744
16, 8, 9379, 612816, 96130, 660941, 335444, 398650, 1481050, 27630, 70477, 15, 58, 22904, 2234444
16, 8, 7803, 577828, 82957, 711455, 319521, 419168, 1507709, 27976, 63230, 12, 54, 31724, 2241728
16, 8, 8613, 496588, 90398, 662817, 333020, 383315, 1511132, 12346, 80927, 12, 57, 15439, 2083532
