# ABRIK Runtime Breakdown Benchmark (unified dense/sparse)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/CurlCurl_3.mtx
# Input size: 1219574 x 1219574
# Format: sparse
# Block sizes: 1, 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 
# Runs per configuration: 10
# Tolerance: 4.94851e-14
# Timings in microseconds
b_sz, num_matmuls, allocation_t, get_factors_t, ungqr_t, reorth_t, qr_t, gemm_A_t, main_loop_t, sketching_t, r_cpy_t, s_cpy_t, norm_t, t_rest, total_t
1, 128, 173001, 120833, 89801, 5418995, 243173, 1240959, 7051025, 35592, 74478, 61, 546, 1206, 7398645
1, 256, 341691, 123462, 426317, 21219067, 988067, 2367506, 25128056, 48918, 184995, 116, 2537, 8193, 25710869
1, 256, 342971, 76581, 54887, 20943647, 167860, 2122968, 23301967, 35420, 26696, 105, 2588, 1728, 23775451
1, 256, 346463, 80148, 120716, 21161893, 282981, 2172936, 23804374, 35340, 79861, 128, 2491, 1701, 24284658
1, 256, 341669, 80023, 100999, 20908735, 258020, 2169744, 23476683, 35505, 53371, 98, 2465, 1699, 23952328
1, 256, 342097, 82722, 54678, 20752751, 194920, 2127530, 23141925, 35342, 26371, 89, 2469, 1678, 23620647
1, 256, 342121, 76763, 38467, 20700381, 114747, 2114922, 22980793, 35560, 26269, 82, 2580, 2230, 23454122
1, 256, 348160, 74245, 39334, 21155011, 133244, 2133064, 23473155, 35377, 26708, 81, 2489, 1699, 23949412
1, 256, 342134, 86921, 255281, 21064207, 672293, 2237272, 24341029, 35551, 126062, 126, 2495, 1687, 24824029
1, 256, 342749, 73993, 39267, 21020158, 164996, 2121017, 23357762, 35303, 26642, 93, 2541, 2038, 23828797
1, 256, 342685, 77344, 39018, 20938062, 129948, 2118411, 23237818, 35369, 26581, 92, 2527, 1716, 23711753
1, 512, 692032, 332693, 141516, 83293254, 361368, 4020131, 87893738, 35967, 80341, 181, 12965, 2640, 88973088
1, 512, 681046, 152679, 148497, 82705493, 436208, 4026297, 87395511, 42198, 79955, 204, 12997, 16067, 88301641
1, 512, 687460, 155997, 158413, 83106731, 456491, 4032387, 87841992, 35688, 90420, 196, 13095, 2718, 88739596
1, 512, 687089, 153693, 91435, 82941971, 330691, 3980948, 87395991, 35588, 53581, 252, 12954, 2774, 88290976
1, 512, 689754, 159190, 139478, 83180366, 355521, 4006070, 87758827, 35702, 79695, 194, 13287, 2757, 88662014
1, 512, 682978, 160388, 117649, 82427585, 420513, 3999004, 87028993, 35638, 66975, 194, 13015, 2721, 87926660
1, 512, 686586, 182314, 570853, 82902250, 1221121, 4172431, 89141959, 35616, 277797, 247, 13035, 2741, 90064991
