# ABRIK Speed Comparison Benchmark (budgeted checkpointing)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/ABRIK_test_mat1.bin
# Input size: 10000 x 10000
# Format: dense
# Target rank: 10
# Budget (total matvecs): 4096
# Num runs: 10 (distinct RNG seeds 0..num_runs-1)
# Block sizes: 1, 4, 8, 16, 32, 
# RSVD uses largest block size with k_r = budget_mv / 2
# Tolerance: 4.94851e-14
# ABRIK elapsed = cumulative BK + SVD extraction (not residual eval)
# Spectra/RSVD elapsed = wall clock for that independent call
# Residual: sqrt(||S^{-1}AV-U||^2_F + ||(A'U)S^{-1}-V||^2_F)
# GESDD is deterministic and runs once (reported under run=0)
run, method, b_sz, total_matvecs, err, elapsed_us
3, ABRIK, 4, 64, 0.000261072, 5117822
3, ABRIK, 4, 128, 1.77811e-13, 10143970
3, ABRIK, 4, 256, 1.78562e-13, 20174768
3, ABRIK, 4, 512, 1.78147e-13, 38802740
3, ABRIK, 4, 1024, 1.76899e-13, 76382475
3, ABRIK, 4, 2048, 1.77038e-13, 148439912
3, ABRIK, 4, 4096, 1.7916e-13, 293107536
3, ABRIK, 8, 8, 2.25855, 641966
3, ABRIK, 8, 16, 1.22659, 1067165
3, ABRIK, 8, 32, 0.662578, 1941957
3, ABRIK, 8, 64, 0.00631915, 3671338
3, ABRIK, 8, 128, 2.51158e-09, 7090433
3, ABRIK, 8, 256, 1.77502e-13, 14256123
3, ABRIK, 8, 512, 1.78108e-13, 27358715
3, ABRIK, 8, 1024, 1.79483e-13, 52608730
3, ABRIK, 8, 2048, 1.79616e-13, 102907696
3, ABRIK, 8, 4096, 1.79731e-13, 200393313
3, ABRIK, 16, 16, 4.48245, 292721
3, ABRIK, 16, 32, 0.62024, 621237
3, ABRIK, 16, 64, 0.0660008, 1255420
3, ABRIK, 16, 128, 4.17285e-05, 2624538
3, ABRIK, 16, 256, 2.41823e-13, 5169999
3, ABRIK, 16, 512, 2.33167e-13, 9038801
3, ABRIK, 16, 1024, 2.32447e-13, 17000518
3, ABRIK, 16, 2048, 2.32325e-13, 30839194
3, ABRIK, 16, 4096, 2.31387e-13, 58518761
3, ABRIK, 32, 32, 3.28762, 391305
3, ABRIK, 32, 64, 0.167358, 1058158
3, ABRIK, 32, 128, 0.00268498, 2666829
3, ABRIK, 32, 256, 9.06211e-08, 5575455
3, ABRIK, 32, 512, 1.9739e-13, 10564548
3, ABRIK, 32, 1024, 1.98046e-13, 18430661
3, ABRIK, 32, 2048, 1.97413e-13, 33192217
3, ABRIK, 32, 4096, 1.97786e-13, 61202946
3, Spectra, 0, 1, 1.07751, 605136
3, Spectra, 0, 2, 1.07751, 604611
3, Spectra, 0, 4, 1.07751, 604729
3, Spectra, 0, 8, 1.07751, 605652
3, Spectra, 0, 16, 1.07751, 605728
3, Spectra, 0, 32, 0.0639794, 859012
3, Spectra, 0, 64, 2.28951e-10, 1665777
3, Spectra, 0, 128, 5.7612e-14, 2655951
3, Spectra, 0, 256, 5.68262e-14, 4313071
3, Spectra, 0, 512, 5.68262e-14, 4314388
3, Spectra, 0, 1024, 5.68262e-14, 4315815
3, Spectra, 0, 2048, 5.68262e-14, 4326479
3, Spectra, 0, 4096, 5.68262e-14, 4325371
3, RSVD, 32, 1, 0.554667, 137320
3, RSVD, 32, 2, 0.554667, 148508
3, RSVD, 32, 4, 0.110166, 269358
3, RSVD, 32, 8, 0.548051, 486998
3, RSVD, 32, 16, 0.498901, 377891
3, RSVD, 32, 32, 0.230417, 379010
3, RSVD, 32, 64, 0.0352524, 738325
3, RSVD, 32, 128, 0.010364, 1378645
3, RSVD, 32, 256, 0.00297241, 1897442
3, RSVD, 32, 512, 0.000901386, 4662944
3, RSVD, 32, 1024, 0.000423594, 9374303
3, RSVD, 32, 2048, 0.000268555, 21271462
3, RSVD, 32, 4096, 0.000176758, 37817430
4, ABRIK, 1, 0, 1, 112088
4, ABRIK, 4, 4, 2.18996, 484306
4, ABRIK, 4, 8, 1.14512, 824305
4, ABRIK, 4, 16, 1.22536, 1467518
4, ABRIK, 4, 32, 0.221679, 2672070
4, ABRIK, 4, 64, 0.000241295, 5146959
4, ABRIK, 4, 128, 7.65148e-14, 10172663
4, ABRIK, 4, 256, 7.7038e-14, 20139641
4, ABRIK, 4, 512, 7.65987e-14, 39002259
4, ABRIK, 4, 1024, 7.69049e-14, 75127707
4, ABRIK, 4, 2048, 7.69889e-14, 149960580
4, ABRIK, 4, 4096, 7.70619e-14, 296723118
4, ABRIK, 8, 8, 3.38933, 359138
4, ABRIK, 8, 16, 1.51627, 862348
4, ABRIK, 8, 32, 0.452804, 1733321
4, ABRIK, 8, 64, 0.00553986, 3388097
4, ABRIK, 8, 128, 2.14683e-09, 7082298
4, ABRIK, 8, 256, 7.77359e-14, 14403517
4, ABRIK, 8, 512, 7.86676e-14, 27816176
4, ABRIK, 8, 1024, 7.94522e-14, 51880724
4, ABRIK, 8, 2048, 7.8387e-14, 98950885
4, ABRIK, 8, 4096, 7.96518e-14, 196971942
4, ABRIK, 16, 16, 6.41943, 277411
4, ABRIK, 16, 32, 0.819749, 587751
4, ABRIK, 16, 64, 0.0527235, 1253353
4, ABRIK, 16, 128, 2.313e-05, 2705117
4, ABRIK, 16, 256, 1.00224e-13, 5609840
4, ABRIK, 16, 512, 9.59462e-14, 10357681
4, ABRIK, 16, 1024, 9.55761e-14, 22340880
4, ABRIK, 16, 2048, 9.61386e-14, 37122433
4, ABRIK, 16, 4096, 9.61434e-14, 65105095
4, ABRIK, 32, 32, 3.17967, 173504
4, ABRIK, 32, 64, 0.21347, 817302
4, ABRIK, 32, 128, 0.00340505, 2374417
4, ABRIK, 32, 256, 9.77377e-08, 5273182
4, ABRIK, 32, 512, 7.93697e-14, 9000628
4, ABRIK, 32, 1024, 8.03371e-14, 16822230
4, ABRIK, 32, 2048, 8.00682e-14, 30481020
4, ABRIK, 32, 4096, 8.11527e-14, 58323832
4, Spectra, 0, 1, 1.07751, 607858
4, Spectra, 0, 2, 1.07751, 607907
4, Spectra, 0, 4, 1.07751, 608049
4, Spectra, 0, 8, 1.07751, 607164
4, Spectra, 0, 16, 1.07751, 602660
4, Spectra, 0, 32, 0.0639794, 853999
4, Spectra, 0, 64, 2.28951e-10, 1653828
4, Spectra, 0, 128, 5.7612e-14, 2655100
4, Spectra, 0, 256, 5.68262e-14, 4322726
4, Spectra, 0, 512, 5.68262e-14, 4324919
4, Spectra, 0, 1024, 5.68262e-14, 4324025
4, Spectra, 0, 2048, 5.68262e-14, 4321899
4, Spectra, 0, 4096, 5.68262e-14, 4324241
4, RSVD, 32, 1, 0.202595, 149138
4, RSVD, 32, 2, 0.202595, 148067
4, RSVD, 32, 4, 0.317143, 180174
4, RSVD, 32, 8, 0.585671, 391328
4, RSVD, 32, 16, 0.813879, 570270
4, RSVD, 32, 32, 0.336815, 396471
4, RSVD, 32, 64, 0.0481708, 753824
4, RSVD, 32, 128, 0.0116488, 1765986
4, RSVD, 32, 256, 0.00336336, 2492095
4, RSVD, 32, 512, 0.000768627, 8380752
4, RSVD, 32, 1024, 0.000227734, 9842944
4, RSVD, 32, 2048, 5.93296e-05, 18906853
4, RSVD, 32, 4096, 1.65116e-05, 37757729
5, ABRIK, 1, 0, 1, 80178
5, ABRIK, 4, 4, 1.84199, 423294
5, ABRIK, 4, 8, 1.13368, 764059
5, ABRIK, 4, 16, 1.28434, 1428082
5, ABRIK, 4, 32, 0.188573, 2587428
5, ABRIK, 4, 64, 4.10155e-05, 5036612
5, ABRIK, 4, 128, 9.62969e-14, 10043386
5, ABRIK, 4, 256, 9.67256e-14, 19933381
5, ABRIK, 4, 512, 9.77618e-14, 39695040
5, ABRIK, 4, 1024, 1.0009e-13, 76872004
5, ABRIK, 4, 2048, 9.69383e-14, 150127605
5, ABRIK, 4, 4096, 9.86239e-14, 294576520
5, ABRIK, 8, 8, 2.71022, 393761
5, ABRIK, 8, 16, 1.53255, 896596
5, ABRIK, 8, 32, 0.721212, 1565879
5, ABRIK, 8, 64, 0.0125011, 3416582
5, ABRIK, 8, 128, 3.59087e-09, 6965137
5, ABRIK, 8, 256, 1.00789e-13, 13995159
5, ABRIK, 8, 512, 1.0074e-13, 27575345
5, ABRIK, 8, 1024, 1.00263e-13, 52075502
5, ABRIK, 8, 2048, 1.00791e-13, 101490295
5, ABRIK, 8, 4096, 1.00285e-13, 200286370
5, ABRIK, 16, 16, 6.57188, 222857
5, ABRIK, 16, 32, 0.773441, 545903
5, ABRIK, 16, 64, 0.0952024, 1166403
5, ABRIK, 16, 128, 3.98776e-05, 2490315
5, ABRIK, 16, 256, 1.22956e-13, 4536015
